common_name,date,prop_pop
Sanderling,2018-08-31,5.890699239678547e-5
Sanderling,2018-09-07,6.757743261990756e-5
Sanderling,2018-09-14,6.495179757746343e-5
Sanderling,2018-09-21,6.360164817847246e-5
Sanderling,2018-09-28,5.328120593274014e-5
Sanderling,2018-10-05,4.1462496093784085e-5
Sanderling,2018-10-12,2.4707829618243633e-5
Sanderling,2018-10-19,0
Sanderling,2018-10-26,0
Sanderling,2018-11-02,0
Sanderling,2018-11-09,0
Sanderling,2018-11-16,0
Sanderling,2018-11-23,0
Sanderling,2018-11-30,0
Sanderling,2018-12-07,0
Sanderling,2018-12-14,0
Sanderling,2018-12-21,0
Sanderling,2018-12-28,0
Semipalmated Sandpiper,2018-01-04,0
Semipalmated Sandpiper,2018-01-11,0
Semipalmated Sandpiper,2018-01-18,0
Semipalmated Sandpiper,2018-01-25,0
Semipalmated Sandpiper,2018-02-01,0
Semipalmated Sandpiper,2018-02-08,0
Semipalmated Sandpiper,2018-02-15,0
Semipalmated Sandpiper,2018-02-22,0
Semipalmated Sandpiper,2018-03-01,0
Semipalmated Sandpiper,2018-03-08,0
Semipalmated Sandpiper,2018-03-15,0
Semipalmated Sandpiper,2018-03-22,0
Semipalmated Sandpiper,2018-03-29,9.762843292212903e-4
Semipalmated Sandpiper,2018-04-05,0.009441124067294377
Semipalmated Sandpiper,2018-04-12,0.0814563742120871
Semipalmated Sandpiper,2018-04-19,0.24837358620547742
Semipalmated Sandpiper,2018-04-26,0.20570449139714084
Semipalmated Sandpiper,2018-05-03,0.09027508972533313
Semipalmated Sandpiper,2018-05-10,0.047029827873965216
Semipalmated Sandpiper,2018-05-17,0.021132710748640527
Semipalmated Sandpiper,2018-05-24,0.011087011698945982
Semipalmated Sandpiper,2018-05-31,0.006938408489862502
Semipalmated Sandpiper,2018-06-07,0.002240959225212969
Semipalmated Sandpiper,2018-06-14,6.824688764148076e-4
Semipalmated Sandpiper,2018-06-21,4.8604714727359656e-4
Semipalmated Sandpiper,2018-06-28,0.0011173591253702154
Semipalmated Sandpiper,2018-07-06,0.007420280318778849
Semipalmated Sandpiper,2018-07-13,0.010565452882701136
Semipalmated Sandpiper,2018-07-20,0.008030528567228527
Semipalmated Sandpiper,2018-07-27,0.009946053466860812
Semipalmated Sandpiper,2018-08-03,0.008247902910949467
Semipalmated Sandpiper,2018-08-10,0.0052971570724077155
Semipalmated Sandpiper,2018-08-17,0.0035072725105597183
Semipalmated Sandpiper,2018-08-24,0.00512568273562755
Semipalmated Sandpiper,2018-08-31,0.013537177968178144
Semipalmated Sandpiper,2018-09-07,0.021933426068319592
Semipalmated Sandpiper,2018-09-14,0.03167589161129919
Semipalmated Sandpiper,2018-09-21,0.02876519405203448
Semipalmated Sandpiper,2018-09-28,0.010582523098306942
Semipalmated Sandpiper,2018-10-05,0.0012597509682375102
Semipalmated Sandpiper,2018-10-12,1.5273597613155022e-4
Semipalmated Sandpiper,2018-10-19,0
Semipalmated Sandpiper,2018-10-26,0
Semipalmated Sandpiper,2018-11-02,0
Semipalmated Sandpiper,2018-11-09,0
Semipalmated Sandpiper,2018-11-16,0
Semipalmated Sandpiper,2018-11-23,0
Semipalmated Sandpiper,2018-11-30,0
Semipalmated Sandpiper,2018-12-07,0
Semipalmated Sandpiper,2018-12-14,0
Semipalmated Sandpiper,2018-12-21,0
Semipalmated Sandpiper,2018-12-28,0
